Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
31,NET-12,144.95,,0,,88.5,88.5,23,NN,FM,5,S,Packet,,,
32,NET-13,145.63,,0,,88.5,88.5,23,NN,FM,5,S,Packet,,,
33,NET-14,145.69,,0,,88.5,88.5,23,NN,FM,5,S,Packet,,,
34,NET-15,144.97,,0,,88.5,88.5,23,NN,FM,5,S,Packet,,,
35,NET-16,144.91,,0,,88.5,88.5,23,NN,FM,5,S,"N7JN-11 Vusario, N7NIX-10, K7QHQ-10 (via DIGI)",,,
36,NET-17,144.93,,0,,88.5,88.5,23,NN,FM,5,S,Packet,,,
37,NET-18,145.61,,0,,88.5,88.5,23,NN,FM,5,S,Packet,,,
38,NET-19,145.05,,0,,88.5,88.5,23,NN,FM,5,S,Packet,,,
39,NET-20,145.58,,0,,88.5,88.5,23,NN,FM,5,S,Packet,,,
50,ANGL11,145.13,-,0.6,Tone,100,100,23,NN,FM,5,,Port Angeles,WF7W,,
51,LYMAN1,145.19,-,0.6,Tone,127.3,127.3,23,NN,FM,5,,Lyman Hill,N7GDE,,
52,SUMAS1,145.23,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,Sumas Mt.,W7BPD,,
53,GOLD11,146.62,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,Gold Mt. Unusable (Cdn 146.61/110.9),WW7RA,,
54,CONIE1,146.74,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,Mt. Constitution,K7SKW,,
55,W-ROK1,146.90,-,0.6,Tone,91.5,91.5,23,NN,FM,5,,"White Rock, BC",VE7RWR,,
56,OAKHB1,146.86,-,0.6,Tone,127.3,127.3,23,NN,FM,5,,Oak Harbor,W7AVM,,
57,GRNIT1,146.92,-,0.6,Tone,123,123,23,NN,FM,5,,Granite Falls,WA7DEM,,
58,KING11,147.16,+,0.6,Tone,103.5,103.5,23,NN,FM,5,,King Mt. IRLP-3276,K7SKW,,
59,TOWNS1,145.15,-,0.6,Tone,114.8,114.8,23,NN,FM,5,,"Port Townsend, Morgan Hill",W7JCR,,
60,ITS-11,145.43,-,0.6,Tone,141.3,141.3,23,NN,FM,5,,"Van. I. Trunk System, Nanaimo, BC",VA7DGA,,
61,ITS-12,146.68,-,0.6,Tone,141.3,141.3,23,NN,FM,5,,"Van. I. Trunk System, Chemainus, BC",VE7RNA,,
63,SICK11,145.47,-,0.6,Tone,127.3,127.3,23,NN,FM,5,,"Duncan, Mt. Sicker",VE7RVC,,
100,060121,144.0,,0,,88.5,88.5,23,NN,FM,5,S,"Revision date",N0NE,,
,,,,,,,,,,,,,,,,
101,CADY41,443.45,+,5,TSQL,103.5,103.5,23,NN,FM,25,,SJCARS Repeater,N7JN,,
102,REV-41,448.45,-,5,Tone,103.5,103.5,23,NN,FM,25,,SJCARS reverse,N7JN,,
103,DIR-41,443.45,,5,TSQL,103.5,103.5,23,NN,FM,25,,SJCARS Direct (simplex),,,
104,RPT-42,442.4625,+,5,,88.5,88.5,23,NN,FM,25,,D-Star Repeater (Hillview Terrace),N7JN-B,,
105,REV-42,442.4625,-,5,,88.5,88.5,23,NN,FM,25,,D-Star Repeater,,,
106,DIR-42,442.4625,,,,88.5,88.5,23,NN,FM,25,,D-Star Repeater,,,
110,TAC-40,446,,0,Tone,156.7,156.7,23,NN,FM,25,,National Simplex,,,
111,TAC-41,446.5,,0,Tone,156.7,156.7,23,NN,FM,25,,,,,
112,TAC-42,441,,0,Tone,156.7,156.7,23,NN,FM,25,,,,,
113,TAC-43,441.5,,0,Tone,156.7,156.7,23,NN,FM,25,,,,,
114,TAC-44,445.825,,0,Tone,103.5,103.5,23,NN,FM,25,,Statewide Primary,,,
115,TAC-45,445.8,,0,Tone,103.5,103.5,23,NN,FM,25,,Statewide Alternate (DSTAR),,,
129,APRS40,445.925,,0,,88.5,88.5,23,NN,FM,25,S,1200 baud APRS,,,
130,APRS41,440.8,,0,,88.5,88.5,23,NN,FM,25,S,9600 baud APRS,,,
131,NET-41,441.5,,0,,88.5,88.5,23,NN,FM,25,S,Shared w/ voice,,,
132,NET-42,445,,0,,88.5,88.5,23,NN,FM,25,S,,,,
133,NET-43,439.9,,0,,88.5,88.5,23,NN,FM,25,S,,,,
134,NET-44,439.95,,0,,88.5,88.5,23,NN,FM,25,S,,,,
135,NET-45,440.125,,0,,88.5,88.5,23,NN,FM,25,S,RMS Gate K7KCA-10,,,
136,NET-46,440.95,,0,,88.5,88.5,23,NN,FM,25,S,,,,
140,BLAIN4,442.4,+,5,Tone,107.2,107.2,23,NN,FM,25,,Lyman Hill,W7UMH,,
142,SQAL41,443.75,+,5,Tone,103.5,103.5,23,NN,FM,25,,Squalicum Mt.,WA7ZWG,,
143,CONIE4,444.05,+,5,Tone,103.5,103.5,23,NN,FM,25,,Mt. Constitution,K7SKW,,
144,TIGR42,444.3,+,5,Tone,103.5,103.5,23,NN,FM,25,,Tiger Mt.,WA7WKT,,
145,LYMN41,444.5,+,5,Tone,103.5,103.5,23,NN,FM,25,,Lyman Hill,WA7ZUS,,
146,ANGL42,444.9,+,5,Tone,107.2,107.2,23,NN,FM,25,,Port Angeles,W6MPD,,
147,LOOK42,442.25,+,5,Tone,156.7,156.7,23,NN,FM,25,,"OPS-1 Primary/Hospital link to LOOK-21",NC7Q,,
148,LOPZ41,443.475,+,5,Tone,77,77,23,NN,FM,25,,Lopez,KD7KAB,,
149,SURV41,444.925,+,5,Tone,100,100,23,NN,FM,25,,Survey Mt. (Can. ARES),VE7RWS,,
150,BLYN41,442.1,+,5,Tone,100,100,23,NN,FM,25,,"Blyn Mt. (near Sequim)",KC7EQO,,
152,P-ROB4,443.3,+,5,Tone,100,100,23,NN,FM,25,,Pt. Roberts,KJ1U,,
153,ITS-41,442.6,+,5,Tone,141.3,141.3,23,NN,FM,25,,"Van. I. Trunk Sys, BC",VE7RNA,,
154,CULT41,444.625,+,5,Tone,103.5,103.5,23,NN,FM,25,,"OPS-1 BACKUP #1 Cultis Mt.",NC7Q,,
155,SICK41,444.925,+,5,Tone,127.3,127.3,23,NN,FM,25,,"Mt. Sicker, Duncan BC",,,
156,MAGNOL,443.475,+,5,Tone,141.3,141.3,23,NN,FM,25,,Seattle,W7ACS,,
157,BEACN1,440.525,+,5,Tone,141.3,141.3,23,NN,FM,25,,Seattle,W7ACS,,
158,LFPARK,440.6,+,5,Tone,141.3,141.3,23,NN,FM,25,,Seattle,W7ACS,,
159,CAPHL1,443.025,+,5,Tone,141.3,141.3,23,NN,FM,25,,Seattle,W7ACS,,
160,COLUMB,444.55,+,5,Tone,141.3,141.3,23,NN,FM,25,,Seattle,WW7SEA,,
250,CFIRE,155.1,off,0,Tone,192.8,192.8,23,NN,NFM,5,,,,,
251,SJAID,155.28,off,0,,88.5,88.5,23,NN,NFM,5,,,,,
252,SJTAC3,154.16,,0,,88.5,88.5,23,NN,NFM,5,,,,,
253,SJTAC4,154.385,,0,,88.5,88.5,23,NN,NFM,5,,,,,
254,OSCAR,156.385,off,0,,88.5,88.5,23,NN,NFM,5,,,,,
255,DNR,151.415,off,0,,88.5,88.5,23,NN,NFM,5,,,,,
256,ORFIRE,154.205,off,0,,88.5,88.5,23,NN,NFM,5,,,,,
257,REDNET,153.83,off,0,,88.5,88.5,23,NN,NFM,5,,,,,
258,MED1IN,468.0,off,0,,88.5,88.5,23,NN,NFM,5,,,,,
259,AIRNW3,463.05,off,0,,88.5,88.5,23,NN,NFM,5,,,,,
260,SJCOPS,453.25,off,0,,88.5,88.5,23,NN,NFM,5,,,,,
261,MAR16,156.8,,0,,88.5,88.5,23,NN,FM,5,,"Inter. Distress, Safety & Calling",,,
262,WX03,162.475,off,0,,88.5,88.5,23,NN,FM,5,S,,,,
263,WX04,162.425,off,0,,88.5,88.5,23,NN,FM,5,S,,,,
264,SJCTAF,128.25,,0,,88.5,88.5,23,NN,AM,5,S,SJC Common Traffic Advisory Frequency,,,
265,AVBEAC,121.5,,0,,88.5,88.5,23,NN,AM,5,S,Aviation ELT Beacon,,,
266,AVTBEA,121.775,,0,,88.5,88.5,23,NN,AM,5,S,Aviation Training Beacon,,,
267,FH WX,135.675,,0,,88.5,88.5,23,NN,AM,5,S,Friday Harbor Airport weather,,,
300,FERRY,151.04,off,0,,88.5,88.5,23,NN,FM,5,,,,,
,,,,,,,,,,,,,,,,
1,CONIE2,224.48,-,1.6,TSQL,103.5,103.5,23,NN,FM,25,,Mt. Constitution Repeater,N7JN,,
2,REV-21,222.88,+,1.6,Tone,103.5,103.5,23,NN,FM,25,,Reverse,N7JN,,
3,DIR-21,224.48,,0,TSQL,103.5,103.5,23,NN,FM,25,,Direct (Simplex),,,
10,TAC-20,223.5,,0,Tone,67,67,23,NN,FM,25,,National Simplex,,,
11,TAC-21,223.48,,0,Tone,67,67,23,NN,FM,25,,"Watcom Unified Resource Net",,,
12,TAC-22,223.52,,0,Tone,67,67,23,NN,FM,25,,,,,
13,TAC-23,222.4,,0,Tone,67,67,23,NN,FM,25,,,,,
14,TAC-24,224.0,,0,Tone,67,67,23,NN,FM,25,,,,,
15,TAC-25,223.42,,0,Tone,103.5,103.5,23,NN,FM,25,,Statewide Primary,,,
16,TAC-26,223.44,,0,Tone,103.5,103.5,23,NN,FM,25,,Statewide Alternate,,,
29,APRS21,223.6,,0,,88.5,88.5,23,NN,FM,25,,9600 baud APRS,,,
30,NET-21,223.78,,0,,88.5,88.5,23,NN,FM,25,S,"N7JN Vusario, RMS Gate KF7FIT-10",,,
31,NET-22,223.66,,0,,88.5,88.5,23,NN,FM,25,,Packet,,,
32,NET-23,223.4,,0,,88.5,88.5,23,NN,FM,25,,Packet,,,
33,NET-24,223.62,,0,,88.5,88.5,23,NN,FM,25,,Packet,,,
50,MED-21,223.86,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,Hospital Net repeater,W7MBY,,
51,TIGR21,224.12,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,Tiger Mt.,K7LED,,
52,BLYN21,224.24,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,"Haystack (was Blyn)",N7NFY,,
53,VANC21,224.3,-,1.6,,127.3,127.3,23,NN,FM,25,,"CS* Vancouver, BC",VE7RPT,,
54,VICT21,224.5,-,1.6,,127.3,127.3,23,NN,FM,25,,"CS* Victoria, BC",VE7RGP,,
55,BRNBY2,224.6,-,1.6,Tone,127.3,127.3,23,NN,FM,25,,"Burnaby, BC",VE7NYE,,
56,GOLD21,224.66,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,Gold Mt.,N7IPB,,
57,ANGL21,224.06,-,1.6,Tone,107.2,107.2,23,NN,FM,25,,Port Angeles,WA6MPD,,
58,KING-2,224.86,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,King Mt.,N7FYU,,
59,MAPL-2,224.88,-,1.6,,103.5,103.5,23,NN,FM,25,,"CS* Maple Ridge, BC",VE7RMR,,
60,SUREY2,224.92,-,1.6,,103.5,103.5,23,NN,FM,25,,"CS* Coquitlem, BC",VE7IFI,,
61,BRNBY2,224.96,-,1.6,,103.5,103.5,23,NN,FM,25,,"CS* Burnaby, BC",VE7VYL,,
62,VUE-21,224.54,-,1.6,Tone,67.0,67.0,23,NN,FM,25,,Vusario,WA6MPG,,
63,LOOK-2,224.16,-,1.6,Tone,156.7,156.7,23,NN,FM,25,,Hospital link to LOOK-42,NC7Q,,
64,LYMN-2,224.78,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,"Lyman Hill, link to WETNET",N7RIG,,
65,HAY-21,224.58,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,"Haystack, link to WETNET",W7WRG,,
67,CAMNO2,223.88,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,Camano Island,W7PIG,,
68,SMOKY2,224.38,-,1.6,Tone,103.5,103.5,23,NN,FM,25,,Smokey Point,WA7DEM,,
69,SUREY2,223.96,-,1.6,Tone,100.0,100.0,23,NN,FM,25,,"Surrey, BC",VE7RHC,,
99,022520,222.0,,0,,88.5,88.5,023,NN,FM,5,S,"Revision date",N0NE,,
